nn;nm;vid;ob;up
20;вынос на просрочку платы за резервирование ресурсов (периодической);Не используется;0;?
315;плата за неполное исполнение обеспечения;Гашение;Комиссия;?
6;продажа. списание неполученные списанных на в/б процентов;Не используется;0;?
323;гашение комиссии за досрочное погашение кредита;Гашение;Комиссия;?
2;присуждение неустойки за просрочку платы за неполное исполнение обязательств в части страхования;Не используется;0;?
3;перенос неустойки за просрочку процентов долга из другого договора при переводе долга;Не используется;0;?
18;перенос неустойки за просрочку основного долга в другой договор при переводе долга;Не используется;0;?
15230;уменьшение резерва по условным обязательствам;Не используется;0;?
21;списание просроченной задолж. по проц. на внебалансе (присужденной) на в/б;Списание;Проценты;?
142354;увеличение отнесенного на себестоимость резерва;Не используется;0;?
36;штраф за нарушение условий договора;Не используется;0;?
13;списание неустойки за просрочку платы за ведение ссудного счета (присужденная) за счет резерва;Списание;Пени;?
33;плата за неполный объем имущественного обеспечения;Гашение;Комиссия;?
3315;плата за обслуживание кредита (фиксир. сумма);Гашение;Комиссия;?
34;гашение присужденной просроченной платы за обслуживание кредита;Гашение;Комиссия;?
35;гашение присужденной просроченной платы за ведение ссудного счета;Гашение;Комиссия;?
2;учет процентов за пр. кредит на балансе(112);Не используется;0;?
26;перенос просроченных процентов из другого договора при переводе долга;Не используется;0;?
6616;+неучтенные проценты за кредит;Не используется;0;?
252;вынос платы за неполное исполнение обязательств в части объема обеспечения;Не используется;0;?
1;начисление пени за просрочку приобретенных прав требования;Не используется;0;U
1090;иаск. квитовка увеличения лимита;Не используется;0;?
53;учет платы за обслуживание кредита;Не используется;0;?
781;перенос просроченных процентов на балансовый учет;Не используется;0;?
14494;перенос досрочно уплаченной платы за обслуживание кредита со счета 47422.99 на доходы;Не используется;0;?
600;учет процентов-отложенных;Начисление;Проценты;U
355;гашение присужденных неустоек, списанных на внебаланс;Гашение;Пени;?
660;иаск. квитовка гашения процентов;Не используется;0;?
118;перенос кредита из текущего транша в другой транш при пролонгации;Не используется;0;?
3551;гашение просроченной ссуды, списанной на в/б;Гашение;Основной долг;?
697;списание неустойки за процентов (присуждённой) на в/б;Списание;Пени;?
3;перенос платы за обслуживание кредита в другой договор при переводе долга;Не используется;0;?
13497;увеличение резерва по условным обязательствам;Не используется;0;?
361;гашение процентов, перенесенных из просроченных;Гашение;Проценты;?
85;-неполученные списанные на в/б проценты;Не используется;0;?
373;гашение присужденных расходов на третейский сбор;Гашение;Госпошлина;?
85;начисление платы за предоставление справки о наличии/остатке кредита;Не используется;0;?
5;перенос резерва на счет резерва просрочки;Не используется;0;U
2;продажа. списание ссудной задолженности (присужденной);Списание;Основной долг;U
16;списание просроч платы за ведение ссудного счета (присужденная) за счет резерва;Списание;Комиссия;?
421;+просроченная плата за обслуживание кредита;Не используется;0;?
